Name,Director,Rating,Genre,Writer,Actor1,Actor2,Actor3,Production,IMDB_Rating,IMDB_Votes,Metascore,Tomato_Meter,Tomato_Rating,Tomato_Review,Tomato_Fresh,Tomato_Rotten,Tomato_User_Rating,Tomato_User_Review,Budget,BoxOffice_Income,#VALUE!,
Paul_Blart:_Mall_Cop,Steve_Carr,0.56586367,0.137533588,Kevin_James,Kevin_James,Keir_O'Donnell,Jayma_Mays,Sony_Pictures,5.2,59373,39,33,3.1,113,37,76,3.1,389548,26000000,146300000,5.626923077,
The_Girl_Who_Kicked_the_Hornets'_Nest,Daniel_Alfredson,-0.186793297,-0.164969468,Stieg_Larsson,Michael_Nyqvist,Noomi_Rapace,Lena_Endre,Music_Box_Films,7.2,35057,60,54,3.6,128,69,59,3.6,27210,5300000,5200000,0.981132076,
Year_One,Harold_Ramis,0.139889589,0.547295553,Harold_Ramis,Jack_Black,Michael_Cera,Oliver_Platt,Sony_Pictures,4.8,62055,34,14,2.5,167,24,143,2.5,335432,60000000,43300000,0.721666667,
Ninja_Assassin,James_McTeigue,-0.186793297,0.137533588,Matthew_Sand,Joon_Lee,Jonathan_Chan-Pensley,Ill-Young_Kim,Warner_Bros._Pictures,6.3,47735,34,26,3.3,112,29,83,3.3,188728,40000000,38100000,0.9525,
Funny_People,Judd_Apatow,-0.186793297,0.020052986,Judd_Apatow,Adam_Sandler,Seth_Rogen,Leslie_Mann,Universal_Pictures,6.4,85929,60,68,3.1,226,154,72,3.1,842630,75000000,51800000,0.690666667,
Mother_and_Child,Rodrigo_Garca,-0.186793297,-0.221322916,Rodrigo_Garca,Alexandria_M._Salling,Connor_Kramme,Annette_Bening,Sony_Pictures,7.2,7450,64,79,3.7,118,93,25,3.7,6551,7000000,1100000,0.157142857,
Splice,Vincenzo_Natali,-0.186793297,-0.193305258,Vincenzo_Natali,Adrien_Brody,Sarah_Polley,Delphine_Chanac,Warner_Brothers,5.8,63704,66,74,2.6,183,135,48,2.6,250134,30000000,17000000,0.566666667,
Post_Grad,Vicky_Jenson,0.139889589,0.020052986,Kelly_Fremon,Alexis_Bledel,Zach_Gilford,Michael_Keaton,Fox_Searchlight_Pictures,5.3,9137,35,8,2.7,98,8,90,2.7,187975,15000000,6300000,0.42,
Amelia,Mira_Nair,0.56586367,0.547295553,Ronald_Bass,Hilary_Swank,Richard_Gere,Ewan_McGregor,Fox_Searchlight_Pictures,5.8,8053,37,21,2.8,155,32,123,2.8,99133,40000000,14200000,0.355,
Middle_Men,George_Gallo,-0.186793297,0.020052986,George_Gallo,Luke_Wilson,Giovanni_Ribisi,Gabriel_Macht,Paramount_Pictures,6.5,29059,60,40,3.3,50,20,30,3.3,18983,20000000,700000,0.035,
Coraline,Henry_Selick,0.56586367,0.317528821,Henry_Selick,Dakota_Fanning,Teri_Hatcher,Jennifer_Saunders,Focus_Features,7.7,104951,80,90,3.7,234,210,24,3.7,377896,60000000,75200000,1.253333333,
Gamer,Brian_Taylor,-0.186793297,0.137533588,Mark_Neveldine,Gerard_Butler,Amber_Valletta,Michael_C._Hall,Lionsgate_Films,5.8,88167,27,29,3,75,22,53,3,250401,50000000,20500000,0.41,
X-Men_Origins:_Wolverine,Gavin_Hood,0.139889589,0.137533588,David_Benioff,Hugh_Jackman,Liev_Schreiber,Danny_Huston,20th_Century_Fox,6.7,219496,40,38,3.6,252,95,157,3.6,551771,150000000,179700000,1.198,
